epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
63,9464.52,0.62913,0.95676,1,0.25227,9.2688e-06,9.2688e-06,9.2688e-06
64,9622.73,0.62452,0.95568,0.99892,0.24476,9.0312e-06,9.0312e-06,9.0312e-06
65,9800.92,0.631,0.95784,1,0.23936,8.7936e-06,8.7936e-06,8.7936e-06
66,9956.33,0.59291,0.96,1,0.23074,8.556e-06,8.556e-06,8.556e-06
67,10107.2,0.60087,0.96324,1,0.2217,8.3184e-06,8.3184e-06,8.3184e-06
68,10284.5,0.57448,0.96324,1,0.21763,8.0808e-06,8.0808e-06,8.0808e-06
69,10456.3,0.56973,0.96865,1,0.20936,7.8432e-06,7.8432e-06,7.8432e-06
70,10610.5,0.56919,0.96541,1,0.20283,7.6056e-06,7.6056e-06,7.6056e-06
71,10745.9,0.55358,0.96865,1,0.19637,7.368e-06,7.368e-06,7.368e-06
72,10893.6,0.54758,0.96865,1,0.1921,7.1304e-06,7.1304e-06,7.1304e-06
73,11024.7,0.55655,0.97081,1,0.18516,6.8928e-06,6.8928e-06,6.8928e-06
74,11159.7,0.51603,0.97514,1,0.18044,6.6552e-06,6.6552e-06,6.6552e-06
75,11294.9,0.53362,0.97405,1,0.17478,6.4176e-06,6.4176e-06,6.4176e-06
76,11429.9,0.4995,0.97405,1,0.17381,6.18e-06,6.18e-06,6.18e-06
77,11565.4,0.49557,0.97405,1,0.16814,5.9424e-06,5.9424e-06,5.9424e-06
78,11700.8,0.51545,0.97946,1,0.16432,5.7048e-06,5.7048e-06,5.7048e-06
79,11835.5,0.50539,0.98054,1,0.15937,5.4672e-06,5.4672e-06,5.4672e-06
80,11971.1,0.50219,0.97838,1,0.15717,5.2296e-06,5.2296e-06,5.2296e-06
81,12106.8,0.50794,0.9773,1,0.15341,4.992e-06,4.992e-06,4.992e-06
82,12241.8,0.47719,0.97838,1,0.15276,4.7544e-06,4.7544e-06,4.7544e-06
83,12376.3,0.48476,0.98162,1,0.1476,4.5168e-06,4.5168e-06,4.5168e-06
84,12511.1,0.49254,0.98162,1,0.1435,4.2792e-06,4.2792e-06,4.2792e-06
85,12645.9,0.47175,0.9827,1,0.1418,4.0416e-06,4.0416e-06,4.0416e-06
86,12781.2,0.46497,0.9827,1,0.14204,3.804e-06,3.804e-06,3.804e-06
87,12915.8,0.44954,0.98378,1,0.13807,3.5664e-06,3.5664e-06,3.5664e-06
88,13070.4,0.46581,0.98486,1,0.13567,3.3288e-06,3.3288e-06,3.3288e-06
89,13245.5,0.44736,0.98378,1,0.13436,3.0912e-06,3.0912e-06,3.0912e-06
90,13440,0.45894,0.98595,1,0.13261,2.8536e-06,2.8536e-06,2.8536e-06
91,13641.4,0.46005,0.98595,1,0.13079,2.616e-06,2.616e-06,2.616e-06
92,13789.3,0.46572,0.98595,1,0.12943,2.3784e-06,2.3784e-06,2.3784e-06
93,13923.2,0.45667,0.98595,1,0.12782,2.1408e-06,2.1408e-06,2.1408e-06
94,14067.3,0.44043,0.98703,1,0.12649,1.9032e-06,1.9032e-06,1.9032e-06
95,14220.2,0.46036,0.98595,1,0.12708,1.6656e-06,1.6656e-06,1.6656e-06
96,14372.1,0.45246,0.98703,1,0.12681,1.428e-06,1.428e-06,1.428e-06
97,14519.1,0.43887,0.98703,1,0.12476,1.1904e-06,1.1904e-06,1.1904e-06
98,14660.6,0.45997,0.98703,1,0.12428,9.528e-07,9.528e-07,9.528e-07
99,14801.8,0.44596,0.98703,1,0.12292,7.152e-07,7.152e-07,7.152e-07
100,14936.7,0.44181,0.98703,1,0.1235,4.776e-07,4.776e-07,4.776e-07
